"table_size","fifo","lru","second.chance"
160,0.631408980686701,0.654464187628729,0.654446983454064
161,0.632296787783459,0.655238554698792,0.655207372132212
162,0.633226171635656,0.65602761700138,0.656041953813601
163,0.634082437745529,0.656802521701901,0.656823130869469
164,0.63494766436304,0.65758638691006,0.657638178644207
165,0.635840668554227,0.658389248394411,0.658430466729546
166,0.636718619092584,0.659158239159891,0.659236374786494
167,0.637620046160951,0.659921136780178,0.660020239994652
168,0.638451402059591,0.660703389096962,0.660781703933717
169,0.639292793726784,0.66148008589901,0.661553741271794
170,0.64012002779191,0.6622399369467,0.662335276747967
171,0.640951562900703,0.663003372197444,0.663085092027102
172,0.641805140858284,0.663749424063372,0.663879709844426
173,0.642618754951801,0.664481497537384,0.664650134291128
174,0.643473945800757,0.665226294932242,0.665396365367208
175,0.644297058032369,0.665968404174808,0.666172524538798
176,0.645099381886262,0.66669528055439,0.666901372230061
177,0.645959949039801,0.667411404324807,0.667618033630936
178,0.646802595178064,0.668142940168361,0.668369282591293
179,0.647612445858373,0.668893293077954,0.669136660465398
180,0.648397565537601,0.669637732052506,0.669892389679574
181,0.649200427021952,0.67039847915096,0.670623925523128
182,0.650036621594716,0.671129835784361,0.671358149518973
183,0.650856328833426,0.671850260598444,0.672126244233689
184,0.651678365804122,0.67257158146329,0.672831794605093
185,0.652451299192963,0.673310464923107,0.673534656824206
186,0.653280862990075,0.674071928862171,0.674274257124634
187,0.654067416350525,0.674837156214444,0.675010990062618
188,0.654906478285733,0.675591451747398,0.675752740884879
189,0.655790163548977,0.676316536025452,0.676488756982252
190,0.65660807868616,0.677038752941063,0.677226744391305
191,0.657420438308607,0.677772080886144,0.677960789176997
192,0.658231901880291,0.678486412555033,0.678690353708871
193,0.659089780881538,0.679196084759951,0.679380492007138
194,0.659878305553669,0.679913104581131,0.680114357582677
195,0.660648730000371,0.680625106518035,0.680850015259745
196,0.661521304234145,0.681337108454938,0.681576712429174
197,0.662348179878965,0.682054845116729,0.682307710642269
198,0.663138496652623,0.682750897350037,0.683009318390313
199,0.663952827586751,0.683474189526564,0.683760208930364
200,0.66477898639096,0.684209309573173,0.684509486579041
201,0.665683460031924,0.684925970974048,0.685248011618553
202,0.66654187666363,0.685651413672408,0.685949619366596
203,0.667367497837381,0.686391730813447,0.686679542318775
204,0.668201541888312,0.687112514047836,0.687418425778592
