table_size,sc
278,0.7375906377748838
279,0.7382698442538326
280,0.7389757530455421
281,0.7396352464076877
282,0.7403017289657907
283,0.7409601470670197
284,0.7416090670301526
285,0.7422794922116164
286,0.7429164050945145
287,0.7435758984566601
288,0.7442266105213206
289,0.7449135230368379
290,0.745556349854777
291,0.7461647683233869
292,0.7468188853809498
293,0.747484471888289
294,0.7481928896221371
295,0.7488561463974907
296,0.7494905503382502
297,0.7501262087500791
298,0.7507763831842813
299,0.7513704648406705
300,0.7520367681886209
301,0.7526984120725995
302,0.7533534251809261
303,0.7540025243542118
304,0.7546236667436673
305,0.7552595043656489
306,0.7559241948222244
307,0.7565795663508565
308,0.7572365507708635
309,0.7579390545696707
310,0.7585799100759295
311,0.759218077429897
312,0.7598596497767669
313,0.7605307917988416
314,0.761178636501058
315,0.7618284525149547
316,0.7625232502771933
317,0.7632058617490445
318,0.7638635630096625
319,0.7645094364001985
320,0.7651793239512039
321,0.765849569922515
322,0.7665337942857409
323,0.767160492189932
324,0.7678375481470476
325,0.7684952494076657
326,0.7691753519373783
327,0.7698328739878435
328,0.7704491777031746
329,0.7711196028846383
330,0.7717333976578308
331,0.7723534647863699
332,0.772988227147435
333,0.7736142082110149
334,0.7742471784705525
335,0.7748962776438381
336,0.7755394628820828
337,0.7761658023659683
338,0.7767894536975625
339,0.7774369399794733
340,0.778107365160937
341,0.7787559267037644
342,0.7793716927886373
343,0.7799887133445794
344,0.7806268806985468
345,0.7812772343429017
346,0.781915580907022
347,0.7825774040011534
348,0.7831928116657207
349,0.7838062480186078
350,0.7844286448791327
351,0.7850531922614905
352,0.78562648554016
353,0.7862114274787587
354,0.7868325698682143
355,0.787387942131608
356,0.7880053211078557
357,0.7886037038079111
358,0.7891488610925977
359,0.7897610429744154
360,0.7903477770145416
361,0.7909465181349026
362,0.7915816389162732
363,0.7921979426316044
364,0.792802776897159
365,0.7933730236032316
366,0.7939991838769643
367,0.7946153083821427
368,0.795166558812023
369,0.7957891348827006
370,0.7963916394162696
371,0.796972280311202
372,0.797571021431563
373,0.7981391176158025
374,0.798713127735083
375,0.7993550585022583
376,0.7999500362094114
377,0.8005557665257298
378,0.8011548660663963
379,0.8017951839421968
380,0.8024050360920287
381,0.8030148882418606
382,0.8036086114779444
383,0.8042369222735102
384,0.8048485665248696
385,0.805464691030048
386,0.8060670163534641
387,0.8066542880240486
388,0.8072623480723529
389,0.8078428097571326
390,0.8084428053485628
391,0.80904584751259
392,0.8096763088299889
393,0.810312504872276
394,0.8109295254282182
395,0.8116130329508332
396,0.8122374011230383
397,0.8128990450070169
398,0.8135909754068116
399,0.8142572787547618
400,0.814957632031736
401,0.815625548271061
402,0.81625600958846
403,0.8169300189729789
404,0.8175217708973823
405,0.8183031271634026
406,0.819032691695276
407,0.8199047282985914
408,0.8204914623387176
409,0.821128196011463
410,0.8222321305524458
411,0.8229120538720056
412,0.8234579279973032
413,0.8242774560258608
414,0.8250867690757111
415,0.8260871201484004
416,0.8267611295329192
417,0.8275571810314656
418,0.8282729463815768
419,0.8292030470743853
420,0.8297184554737143
421,0.8307881608755204
422,0.8315286572267121
423,0.8323548160309217
424,0.8332519420556229
