running 808 tests
test mutex_3t_001p ... bench:   2,679,554 ns/iter (+/- 650,661)
test mutex_3t_002p ... bench:   2,629,486 ns/iter (+/- 696,259)
test mutex_3t_003p ... bench:   2,535,248 ns/iter (+/- 563,660)
test mutex_3t_004p ... bench:   2,638,153 ns/iter (+/- 610,505)
test mutex_3t_005p ... bench:   2,636,029 ns/iter (+/- 600,223)
test mutex_3t_006p ... bench:   2,633,888 ns/iter (+/- 496,030)
test mutex_3t_007p ... bench:   2,579,437 ns/iter (+/- 500,505)
test mutex_3t_008p ... bench:   2,616,483 ns/iter (+/- 539,678)
test mutex_3t_009p ... bench:   2,478,279 ns/iter (+/- 601,220)
test mutex_3t_010p ... bench:   2,664,466 ns/iter (+/- 607,459)
test mutex_3t_011p ... bench:   2,653,049 ns/iter (+/- 623,693)
test mutex_3t_012p ... bench:   2,589,325 ns/iter (+/- 587,994)
test mutex_3t_013p ... bench:   2,724,657 ns/iter (+/- 784,873)
test mutex_3t_014p ... bench:   2,647,688 ns/iter (+/- 693,239)
test mutex_3t_015p ... bench:   2,614,649 ns/iter (+/- 614,512)
test mutex_3t_016p ... bench:   2,678,211 ns/iter (+/- 566,254)
test mutex_3t_017p ... bench:   2,617,156 ns/iter (+/- 599,771)
test mutex_3t_018p ... bench:   2,684,891 ns/iter (+/- 602,946)
test mutex_3t_019p ... bench:   2,749,932 ns/iter (+/- 617,116)
test mutex_3t_020p ... bench:   2,705,561 ns/iter (+/- 606,681)
test mutex_3t_021p ... bench:   2,696,405 ns/iter (+/- 541,765)
test mutex_3t_022p ... bench:   2,717,511 ns/iter (+/- 594,725)
test mutex_3t_023p ... bench:   2,680,518 ns/iter (+/- 625,074)
test mutex_3t_024p ... bench:   2,783,001 ns/iter (+/- 688,339)
test mutex_3t_025p ... bench:   2,766,885 ns/iter (+/- 632,618)
test mutex_3t_026p ... bench:   2,736,186 ns/iter (+/- 641,914)
test mutex_3t_027p ... bench:   2,759,802 ns/iter (+/- 691,103)
test mutex_3t_028p ... bench:   2,820,306 ns/iter (+/- 602,357)
test mutex_3t_029p ... bench:   2,726,435 ns/iter (+/- 724,610)
test mutex_3t_030p ... bench:   2,785,404 ns/iter (+/- 547,804)
test mutex_3t_031p ... bench:   2,758,038 ns/iter (+/- 724,318)
test mutex_3t_032p ... bench:   2,885,510 ns/iter (+/- 660,090)
test mutex_3t_033p ... bench:   2,851,292 ns/iter (+/- 620,377)
test mutex_3t_034p ... bench:   2,885,866 ns/iter (+/- 676,807)
test mutex_3t_035p ... bench:   2,840,318 ns/iter (+/- 580,554)
test mutex_3t_036p ... bench:   2,872,234 ns/iter (+/- 662,300)
test mutex_3t_037p ... bench:   2,882,876 ns/iter (+/- 632,753)
test mutex_3t_038p ... bench:   2,921,382 ns/iter (+/- 805,240)
test mutex_3t_039p ... bench:   2,982,881 ns/iter (+/- 889,811)
test mutex_3t_040p ... bench:   2,944,711 ns/iter (+/- 721,261)
test mutex_3t_041p ... bench:   2,972,005 ns/iter (+/- 567,567)
test mutex_3t_042p ... bench:   2,969,781 ns/iter (+/- 730,550)
test mutex_3t_043p ... bench:   3,018,444 ns/iter (+/- 792,214)
test mutex_3t_044p ... bench:   3,032,477 ns/iter (+/- 687,715)
test mutex_3t_045p ... bench:   3,021,449 ns/iter (+/- 819,856)
test mutex_3t_046p ... bench:   3,091,153 ns/iter (+/- 858,960)
test mutex_3t_047p ... bench:   3,125,888 ns/iter (+/- 781,899)
test mutex_3t_048p ... bench:   3,147,403 ns/iter (+/- 742,446)
test mutex_3t_049p ... bench:   3,195,366 ns/iter (+/- 673,376)
