running 808 tests
test mutex_2t_049p ... bench:   2,169,774 ns/iter (+/- 268,490)
test mutex_2t_050p ... bench:   2,201,800 ns/iter (+/- 357,343)
test mutex_2t_051p ... bench:   2,210,804 ns/iter (+/- 315,620)
test mutex_2t_052p ... bench:   2,230,300 ns/iter (+/- 219,950)
test mutex_2t_053p ... bench:   2,236,689 ns/iter (+/- 288,951)
test mutex_2t_054p ... bench:   2,297,668 ns/iter (+/- 320,225)
test mutex_2t_055p ... bench:   2,299,468 ns/iter (+/- 267,584)
test mutex_2t_056p ... bench:   2,335,200 ns/iter (+/- 270,328)
test mutex_2t_057p ... bench:   2,321,160 ns/iter (+/- 256,924)
test mutex_2t_058p ... bench:   2,374,464 ns/iter (+/- 314,650)
test mutex_2t_059p ... bench:   2,434,067 ns/iter (+/- 385,258)
test mutex_2t_060p ... bench:   2,403,869 ns/iter (+/- 261,254)
test mutex_2t_061p ... bench:   2,460,877 ns/iter (+/- 339,230)
test mutex_2t_062p ... bench:   2,449,653 ns/iter (+/- 300,971)
test mutex_2t_063p ... bench:   2,487,719 ns/iter (+/- 257,624)
test mutex_2t_064p ... bench:   2,514,561 ns/iter (+/- 346,472)
test mutex_2t_065p ... bench:   2,539,899 ns/iter (+/- 319,229)
test mutex_2t_066p ... bench:   2,527,560 ns/iter (+/- 351,849)
test mutex_2t_067p ... bench:   3,030,800 ns/iter (+/- 675,038)
test mutex_2t_068p ... bench:   2,590,707 ns/iter (+/- 577,711)
test mutex_2t_069p ... bench:   2,593,283 ns/iter (+/- 235,199)
test mutex_2t_070p ... bench:   2,623,871 ns/iter (+/- 307,687)
test mutex_2t_071p ... bench:   2,670,101 ns/iter (+/- 329,043)
test mutex_2t_072p ... bench:   2,672,913 ns/iter (+/- 289,370)
test mutex_2t_073p ... bench:   2,698,915 ns/iter (+/- 371,018)
test mutex_2t_074p ... bench:   2,729,772 ns/iter (+/- 348,198)
test mutex_2t_075p ... bench:   2,754,653 ns/iter (+/- 309,547)
test mutex_2t_076p ... bench:   2,799,546 ns/iter (+/- 360,009)
test mutex_2t_077p ... bench:   2,791,471 ns/iter (+/- 301,318)
test mutex_2t_078p ... bench:   2,817,284 ns/iter (+/- 323,821)
test mutex_2t_079p ... bench:   3,394,669 ns/iter (+/- 714,494)
test mutex_2t_080p ... bench:   3,380,616 ns/iter (+/- 546,163)
test mutex_2t_081p ... bench:   2,892,107 ns/iter (+/- 288,332)
test mutex_2t_082p ... bench:   2,935,300 ns/iter (+/- 309,200)
test mutex_2t_083p ... bench:   2,970,163 ns/iter (+/- 301,294)
test mutex_2t_084p ... bench:   2,986,810 ns/iter (+/- 345,304)
test mutex_2t_085p ... bench:   3,003,131 ns/iter (+/- 234,805)
test mutex_2t_086p ... bench:   3,072,652 ns/iter (+/- 229,592)
test mutex_2t_087p ... bench:   3,581,072 ns/iter (+/- 332,617)
test mutex_2t_088p ... bench:   3,554,240 ns/iter (+/- 603,513)
test mutex_2t_089p ... bench:   3,563,255 ns/iter (+/- 756,926)
test mutex_2t_090p ... bench:   3,159,582 ns/iter (+/- 225,778)
test mutex_2t_091p ... bench:   3,191,353 ns/iter (+/- 290,812)
test mutex_2t_092p ... bench:   3,682,020 ns/iter (+/- 538,312)
test mutex_2t_093p ... bench:   3,744,083 ns/iter (+/- 700,387)
test mutex_2t_094p ... bench:   3,292,721 ns/iter (+/- 214,521)
test mutex_2t_095p ... bench:   3,315,441 ns/iter (+/- 359,488)
test mutex_2t_096p ... bench:   3,357,243 ns/iter (+/- 432,608)
test mutex_2t_097p ... bench:   3,394,717 ns/iter (+/- 298,961)
test mutex_2t_098p ... bench:   3,419,782 ns/iter (+/- 304,278)
test mutex_2t_099p ... bench:   3,430,120 ns/iter (+/- 471,604)
test mutex_2t_100p ... bench:   4,070,924 ns/iter (+/- 426,659)
test mutex_3t_000p ... bench:   1,901,636 ns/iter (+/- 404,026)
test mutex_3t_001p ... bench:   1,682,438 ns/iter (+/- 348,731)
test mutex_3t_002p ... bench:   1,605,817 ns/iter (+/- 392,826)
