table_size,lru
140,0.637818431800053
141,0.6386893931424518
142,0.639560712905156
143,0.6404262979429721
144,0.641302277169648
145,0.642153166974938
146,0.6430074617731304
147,0.6438404305631447
148,0.6446807469694219
149,0.6455056513025621
150,0.6463506271728111
151,0.6471886138471026
152,0.6480246292097137
153,0.6488473830210209
154,0.6496622515856066
155,0.6504608120262916
156,0.6512484406476583
157,0.6520559615959811
158,0.6528762064651497
159,0.653667777709877
160,0.6544641876287289
161,0.6552385546987917
162,0.6560276170013805
163,0.6568025217019015
164,0.6575863869100603
165,0.6583892483944115
166,0.6591582391598915
167,0.6599211367801778
168,0.6607033890969618
169,0.6614800858990104
170,0.6622399369466998
171,0.6630033721974444
172,0.6637494240633716
173,0.6644814975373837
174,0.6652262949322415
175,0.6659684041748081
176,0.6666952805543902
177,0.667411404324807
178,0.6681429401683607
179,0.6688932930779541
180,0.6696377320525064
181,0.6703984791509596
182,0.6711298357843607
183,0.6718502605984437
184,0.6725715814632903
185,0.6733104649231072
186,0.6740719288621715
187,0.6748371562144436
188,0.6755914517473975
189,0.6763165360254522
190,0.6770387529410626
191,0.677772080886144
192,0.6784864125550332
193,0.6791960847599506
194,0.6799131045811312
195,0.6806251065180345
196,0.6813371084549379
197,0.6820548451167294
198,0.6827508973500374
199,0.6834741895265644
200,0.6842093095731734
201,0.6849259709740484
202,0.6856514136724084
203,0.6863917308134474
204,0.6871125140478358
205,0.6878462004132228
206,0.6885911770182334
207,0.6893266554851478
208,0.6900648221043537
209,0.6908189384271549
210,0.6915264601102393
211,0.6922746624979995
212,0.6930097825446085
213,0.6937590601932854
214,0.694487728674395
215,0.6952085119087834
216,0.6959086859756048
217,0.6966326949927429
218,0.6973525821763675
219,0.6980704980483118
220,0.6988124280807255
221,0.6995190537130462
222,0.7002253209250613
223,0.7009394733837977
224,0.7016871381410997
225,0.7024052332231967
226,0.7031244035662103
227,0.7038475165325846
228,0.7045536045344469
229,0.7052564667535597
230,0.7059720528935182
231,0.7067003629543224
232,0.7074295690658904
233,0.7081413917926409
234,0.708858770034127
235,0.709560736202476
236,0.7102894046835857
237,0.7110057076641552
238,0.7117164551299892
239,0.712414837095283
240,0.7131228964088256
241,0.7138295220411462
242,0.7145193019191077
243,0.7152184007250126
244,0.7159121232263347
245,0.7166183904383499
246,0.7173063782147837
247,0.7180205306735201
248,0.7186983034712469
249,0.7193952517553186
250,0.7200905871480155
251,0.7207746323010888
252,0.7214776737303543
253,0.722172471492593
254,0.7228572334862773
255,0.7235436083713364
256,0.7242029225233292
257,0.7248789032195283
258,0.7255512997126724
259,0.7262391082789535
260,0.7269134760837779
261,0.7275928617728794
262,0.7282683048386204
263,0.728938013179473
264,0.7295889044542863
265,0.730252698860098
266,0.7308989306709395
267,0.7315657716493481
268,0.7322614654623505
269,0.7329281272306064
270,0.7336094842313883
271,0.7342759667894914
272,0.7349469296014133
273,0.7356471036682347
274,0.7363051633491582
275,0.7369666280229841
276,0.7376185945587138
277,0.7382813137036089
278,0.7389275455144505
279,0.7395933112319426
280,0.7402483243402692
281,0.7409040542892068
282,0.7415637268615052
283,0.7422305678399137
284,0.7429018890721413
285,0.74355833586169
286,0.7442154994918496
287,0.7448420181858879
288,0.7454936263013121
289,0.7461375283801678
290,0.7467749788935243
291,0.7474118917764224
292,0.7480373352095442
293,0.7486638539035825
294,0.7493084728230491
295,0.7499283607414354
296,0.750569395457847
297,0.751201290456468
298,0.7518511064703647
299,0.7524858688314298
300,0.7531227817143279
301,0.7537591569667678
